County,city,2020 Population Census,2021 Population Estimate¹,2022 Population Estimate,2023 Population Estimate
Pacific,Long Beach,"1,688","1,700","1,715","1,730"
Pacific,Raymond,"3,081","3,075","3,090","3,110"
Pacific,South Bend,"1,746","1,750","1,735","1,755"
.,.,.,.,.,.
Pend Oreille,Pend Oreille County,"13,401","13,475","13,625","13,725"
Pend Oreille,Unincorporated Pend Oreille County,"10,272","10,345","10,480","10,575"
Pend Oreille,Incorporated Pend Oreille County,"3,129","3,130","3,145","3,150"
Pend Oreille,Cusick,153,150,155,155
Pend Oreille,Ione,428,425,425,425
Pend Oreille,Metaline,162,160,160,160
Pend Oreille,Metaline Falls,272,275,275,275
Pend Oreille,Newport,"2,114","2,120","2,130","2,135"
.,.,.,.,.,.
Pierce,Pierce County,"920,393","928,200","937,400","946,300"
Pierce,Unincorporated Pierce County,"430,248","435,135","440,800","446,150"
Pierce,Incorporated Pierce County,"490,145","493,065","496,600","500,150"
Pierce,Auburn (part),"10,013","10,040","10,060","10,060"
Pierce,Bonney Lake,"21,750","23,510","22,990","23,250"
Pierce,Buckley,"5,114","5,300","5,315","5,555"
Pierce,Carbonado,734,740,740,745
Pierce,DuPont,"10,151","10,180","10,180","10,180"
Pierce,Eatonville,"2,845","2,875","2,890","2,900"
Pierce,Edgewood,"12,327","13,110","13,520","13,590"
Pierce,Enumclaw (part),0,0,0,0
Pierce,Fife,"10,999","11,150","11,130","11,150"
Pierce,Fircrest,"7,156","7,195","7,215","7,235"
Pierce,Gig Harbor,"12,029","12,200","12,540","13,060"
Pierce,Lakewood,"63,612","63,600","63,800","64,150"
Pierce,Milton (part),"7,057","7,065","7,065","7,080"
Pierce,Orting,"9,041","9,010","9,055","9,110"
Pierce,Pacific (part),41,40,40,40
Pierce,Puyallup,"42,973","43,060","43,260","43,420"
Pierce,Roy,816,815,815,815
Pierce,Ruston,"1,055","1,060","1,060","1,065"
Pierce,South Prairie,373,375,620,645
Pierce,Steilacoom,"6,727","6,745","6,790","6,825"
Pierce,Sumner,"10,621","10,700","10,800","10,800"
Pierce,Tacoma,"219,346","218,700","220,800","222,400"
Pierce,University Place,"34,866","35,100","35,420","35,580"
Pierce,Wilkeson,499,495,495,495
.,.,.,.,.,.
San Juan,San Juan County,"17,788","17,850","18,150","18,350"
San Juan,Unincorporated San Juan County,"15,175","15,220","15,470","15,635"
San Juan,Incorporated San Juan County,"2,613","2,630","2,680","2,715"
San Juan,Friday Harbor,"2,613","2,630","2,680","2,715"
.,.,.,.,.,.
Skagit,Skagit County,"129,523","130,000","131,250","132,000"
Skagit,Unincorporated Skagit County,"52,606","52,750","52,970","53,065"
Skagit,Incorporated Skagit County,"76,917","77,250","78,280","78,935"
Skagit,Anacortes,"17,637","17,750","17,880","18,020"
Skagit,Burlington,"9,152","9,290","9,800","9,905"
Skagit,Concrete,801,805,810,810
Skagit,Hamilton,299,295,295,295
Skagit,La Conner,965,970,980,990
Skagit,Lyman,423,420,425,425
Skagit,Mount Vernon,"35,219","35,390","35,500","35,590"
Skagit,Sedro-Woolley,"12,421","12,330","12,590","12,900"
.,.,.,.,.,.
Skamania,Skamania County,"11,604","11,750","11,900","12,000"
Skamania,Unincorporated Skamania County,"9,148","9,255","9,375","9,460"
Skamania,Incorporated Skamania County,"2,456","2,495","2,525","2,540"
Skamania,North Bonneville,965,970,975,975
Skamania,Stevenson,"1,491","1,525","1,550","1,565"
.,.,.,.,.,.
Snohomish,Snohomish County,"827,957","837,800","847,300","859,800"
Snohomish,Unincorporated Snohomish County,"367,716","371,300","371,915","374,435"
Snohomish,Incorporated Snohomish County,"460,241","466,500","475,385","485,365"
Snohomish,Arlington,"19,868","20,690","21,260","21,740"
Snohomish,Bothell (part),"19,205","19,400","19,730","20,270"
Snohomish,Brier,"6,560","6,570","6,590","6,610"
Snohomish,Darrington,"1,462","1,470","1,490","1,505"
Snohomish,Edmonds,"42,853","42,900","42,980","43,370"
Snohomish,Everett,"110,629","112,300","113,300","114,200"
Snohomish,Gold Bar,"2,403","2,420","2,290","2,305"
Snohomish,Granite Falls,"4,450","4,490","4,705","4,775"
Snohomish,Index,155,155,155,155
Snohomish,Lake Stevens,"35,630","37,000","40,700","41,260"
Snohomish,Lynnwood,"38,568","38,650","38,740","40,790"
Snohomish,Marysville,"70,714","71,250","72,380","73,780"
Snohomish,Mill Creek,"20,926","20,930","21,510","21,630"
Snohomish,Monroe,"19,699","19,900","19,700","20,590"
Snohomish,Mountlake Terrace,"21,286","21,980","22,070","23,810"
Snohomish,Mukilteo,"21,538","21,560","21,590","21,590"
Snohomish,Snohomish,"10,126","10,160","10,200","10,330"
Snohomish,Stanwood,"7,705","7,980","8,405","8,585"
Snohomish,Sultan,"5,146","5,370","6,260","6,730"
Snohomish,Woodway,"1,318","1,325","1,330","1,340"
.,.,.,.,.,.
Spokane,Spokane County,"539,339","542,100","550,700","554,600"
Spokane,Unincorporated Spokane County,"158,524","159,560","162,715","163,390"
Spokane,Incorporated Spokane County,"380,815","382,540","387,985","391,210"
Spokane,Airway Heights,"10,757","10,760","11,040","11,280"
Spokane,Cheney,"13,255","12,390","12,920","13,160"
Spokane,Deer Park,"4,383","4,520","4,670","4,925"
Spokane,Fairfield,589,600,600,600
Spokane,Latah,185,185,185,185
Spokane,Liberty Lake,"12,003","12,480","12,870","13,150"
Spokane,Medical Lake,"4,874","4,870","4,840","4,915"
Spokane,Millwood,"1,881","1,915","1,915","1,925"
Spokane,Rockford,522,520,545,570
Spokane,Spangle,280,280,280,280
Spokane,Spokane,"228,989","229,400","230,900","232,700"
Spokane,Spokane Valley,"102,976","104,500","107,100","107,400"
Spokane,Waverly,121,120,120,120
.,.,.,.,.,.
Stevens,Stevens County,"46,445","46,725","47,050","47,350"
Stevens,Unincorporated Stevens County,"36,675","36,925","37,172","37,405"
Stevens,Incorporated Stevens County,"9,770","9,800","9,878","9,945"
Stevens,Chewelah,"2,470","2,485","2,535","2,580"
Stevens,Colville,"4,917","4,910","4,900","4,925"
Stevens,Kettle Falls,"1,636","1,655","1,650","1,640"
Stevens,Marcus,216,215,215,215
Stevens,Northport,297,295,295,295
Stevens,Springdale,234,240,283,290
.,.,.,.,.,.
Thurston,Thurston County,"294,793","297,800","300,500","303,400"
Thurston,Unincorporated Thurston County,"144,856","145,255","143,760","143,980"
Thurston,Incorporated Thurston County,"149,937","152,545","156,740","159,420"
Thurston,Bucoda,600,595,610,620
Thurston,Lacey,"53,526","54,850","58,180","59,430"
Thurston,Olympia,"55,382","55,960","56,370","56,900"
Thurston,Rainier,"2,369","2,440","2,510","2,555"
Thurston,Tenino,"1,870","2,010","2,030","2,045"
Thurston,Tumwater,"25,573","26,050","26,360","27,100"
Thurston,Yelm,"10,617","10,640","10,680","10,770"
.,.,.,.,.,.
Wahkiakum,Wahkiakum County,"4,422","4,475","4,525","4,550"
Wahkiakum,Unincorporated Wahkiakum County,"3,862","3,915","3,965","3,975"
Wahkiakum,Incorporated Wahkiakum County,560,560,560,575
Wahkiakum,Cathlamet,560,560,560,575
.,.,.,.,.,.
Walla Walla,Walla Walla County,"62,584","62,100","62,625","63,100"
Walla Walla,Unincorporated Walla Walla County,"17,084","17,110","17,200","17,340"
Walla Walla,Incorporated Walla Walla County,"45,500","44,990","45,425","45,760"
Walla Walla,College Place,"9,902","9,775","9,855","9,890"
Walla Walla,Prescott,372,370,370,375
Walla Walla,Waitsburg,"1,166","1,165","1,180","1,185"
Walla Walla,Walla Walla,"34,060","33,680","34,020","34,310"
.,.,.,.,.,.
Whatcom,Whatcom County,"226,847","226,300","231,650","235,800"
Whatcom,Unincorporated Whatcom County,"92,660","92,730","93,130","94,175"
Whatcom,Incorporated Whatcom County,"134,187","133,570","138,520","141,625"
Whatcom,Bellingham,"91,482","89,860","93,910","95,960"
Whatcom,Blaine,"5,884","6,020","6,130","6,310"
Whatcom,Everson,"2,888","2,935","3,060","3,135"
Whatcom,Ferndale,"15,048","15,570","15,970","16,330"
Whatcom,Lynden,"15,749","15,930","16,150","16,520"
Whatcom,Nooksack,"1,471","1,515","1,560","1,560"
Whatcom,Sumas,"1,665","1,740","1,740","1,810"
.,.,.,.,.,.
Whitman,Whitman County,"47,973","44,600","47,800","48,100"
Whitman,Unincorporated Whitman County,"5,929","5,880","5,920","5,930"
Whitman,Incorporated Whitman County,"42,044","38,720","41,880","42,170"
Whitman,Albion,550,545,545,540
Whitman,Colfax,"2,782","2,765","2,785","2,785"
Whitman,Colton,401,400,405,410
Whitman,Endicott,312,310,310,310
Whitman,Farmington,131,135,140,140
Whitman,Garfield,562,565,565,565
Whitman,LaCrosse,297,300,300,295
Whitman,Lamont,79,80,80,85
Whitman,Malden,216,110,135,135
Whitman,Oakesdale,395,400,400,400
Whitman,Palouse,"1,015","1,020","1,035","1,050"
Whitman,Pullman,"32,901","29,690","32,790","33,060"
Whitman,Rosalia,598,600,590,585
Whitman,St. John,599,600,600,605
Whitman,Tekoa,817,810,810,805
Whitman,Uniontown,389,390,390,400
.,.,.,.,.,.
Yakima,Yakima County,"256,728","258,100","259,950","261,200"
Yakima,Unincorporated Yakima County,"88,147","88,240","88,955","89,155"
Yakima,Incorporated Yakima County,"168,581","169,860","170,995","172,045"
Yakima,Grandview,"10,910","10,960","11,020","11,250"
Yakima,Granger,"3,624","3,690","3,740","3,775"
Yakima,Harrah,585,580,580,580
Yakima,Mabton,"1,959","1,975","1,975","1,965"
Yakima,Moxee,"4,326","4,405","4,665","4,785"
Yakima,Naches,"1,084","1,110","1,125","1,120"
Yakima,Selah,"8,153","8,235","8,365","8,450"
Yakima,Sunnyside,"16,375","16,400","16,500","16,530"
Yakima,Tieton,"1,389","1,430","1,505","1,545"
Yakima,Toppenish,"8,854","8,870","8,870","8,900"
Yakima,Union Gap,"6,568","6,595","6,640","6,660"
Yakima,Wapato,"4,607","4,610","4,615","4,620"
Yakima,Yakima,"96,968","97,810","98,200","98,650"
Yakima,Zillah,"3,179","3,190","3,195","3,215"
,,,,,
,,,,,
